id,productname,productprice,salespersonid,legalpersonid,developerid,testerid,hrid
76,Virtual Reality Headsets,500,5,10,152,566,4
77,Fitness Trackers,500,50,11,154,66,8
78,Headphones ,700,70,15,156,450,3
79,Earpods,500,20,19,158,345,2
80,Blutooth Headphones,600,30,4,160,456,5
81,Speakers,800,23,9,162,564,3
82,Power Bank,700,700,6,164,456,7
83,External Hard Dirves,300,50,38,166,563,6
84,Printers,400,400,33,168,6,4
85,Scanners,500,7,55,170,12,4
86,Proector,400,3,78,172,67,6
87,Electronic toothbrushes,200,5,45,174,34,8
88,Pocket cameras,100,100,26,176,57,5
89,ATM,450,500,98,178,34,3
90,Sensors,670,50,66,180,120,5
91,Smartphones,890,30,77,182,330,5
92,Computer,670,5,88,184,23,7
93,Laptop,450,50,99,186,34,3
94,Wacom Tablet ,340,70,333,188,56,4
95,Bluetooth Speakers,750,20,45,190,78,7
96,Television,670,30,345,192,98,5
97,SmartWatches,340,23,12,194,90,2
98,Tablet,250,700,55,196,10,6
99,Video Players,450,50,36,198,34,4
100,Calculators ,760,50,67,200,20,3
101,Mobile Phones,160,400,23,202,23,8
102,Telephone,2000,7,700,204,30,3
103,Landline Phone,450,3,50,206,40,5
104,Radios,125,5,50,208,50,6
105,Wakie-Talkies,500,100,400,210,55,7
106,Routers,300,500,7,212,34,4
107,Modems,400,50,3,214,45,8
108,Gaming Coonsoles,500,30,5,216,35,3
109,Music Players,600,5,100,218,26,2
110,E-readers,700,50,500,220,27,5
111,Kindle,700,70,50,222,28,3
112,Projector,300,20,30,224,49,7
113,Refrigerator,500,30,5,226,459,6
114,WashingMachine,500,23,50,228,678,4
115,Dryers,700,700,70,230,678,4
116,Ovens,500,50,20,232,789,6
117,Microwaves,600,400,30,234,697,8
118,Air Conditioner,800,7,23,236,457,5
119,Cameras,700,3,700,238,567,3
120,Drone,300,5,50,240,466,5
121,Virtual Reality Headsets,400,100,400,242,55,5
122,Fitness Trackers,500,500,7,244,367,7
123,Headphones ,400,50,3,246,45,3
124,Earpods,200,30,5,248,36,4
125,Blutooth Headphones,100,5,100,250,457,7
126,Speakers,450,50,500,252,33,5
127,Power Bank,670,70,50,254,4,2
128,External Hard Dirves,890,20,30,256,5,6
129,Printers,670,30,5,258,6,4
130,Scanners,450,23,50,260,7,3
131,Proector,340,700,70,262,67,8
132,Electronic toothbrushes,750,50,20,264,50,3
133,Pocket cameras,670,50,30,266,67,5
134,ATM,340,400,23,268,46,6
135,Sensors,250,7,700,270,235,7
136,Smartphones,450,3,50,272,670,4
137,Computer,760,5,50,274,457,8
138,Laptop,160,100,400,276,234,3
139,Wacom Tablet ,2000,500,7,278,560,2
140,Bluetooth Speakers,450,50,3,280,230,5
141,Television,125,30,5,282,43,3
142,SmartWatches,500,5,100,284,104,7
143,Tablet,300,50,500,286,923,6
144,Video Players,400,70,50,288,345,4
145,Calculators ,500,20,30,290,230,4
146,Mobile Phones,600,30,5,292,456,6
147,Telephone,700,23,50,294,1,8
148,Landline Phone,700,700,70,296,23,5
149,Radios,300,50,20,298,234,3
150,Wakie-Talkies,500,400,30,300,45,5
151,Routers,500,7,23,302,345,5
152,Modems,700,3,700,304,567,7
153,Gaming Coonsoles,500,5,50,306,409,3
154,Music Players,600,100,400,308,679,4
155,E-readers,800,500,7,310,567,7
156,Kindle,700,50,3,312,67,5
157,Projector,300,30,5,314,34,2
158,Refrigerator,400,5,100,316,54,6
159,WashingMachine,500,50,500,318,566,4
160,Dryers,400,70,50,320,66,3
161,Ovens,200,20,30,322,450,8
162,Microwaves,100,30,5,324,345,3
163,Air Conditioner,450,23,50,326,456,5
164,Cameras,670,700,70,328,564,6
165,Drone,890,50,20,330,456,7
166,Virtual Reality Headsets,670,50,30,332,563,4
167,Fitness Trackers,450,400,23,334,6,8
168,Headphones ,340,7,700,336,12,3
169,Earpods,750,3,50,338,67,2
170,Blutooth Headphones,670,5,50,340,34,5
171,Speakers,340,100,400,342,57,3
172,Power Bank,250,500,7,344,34,7
173,External Hard Dirves,450,50,3,346,120,6
174,Printers,760,30,5,348,330,4
175,Scanners,160,5,100,350,23,4
176,Proector,2000,50,500,352,34,6
177,Electronic toothbrushes,450,70,50,354,56,8
178,Pocket cameras,125,20,30,356,78,5
179,ATM,500,30,5,358,98,3
180,Sensors,300,23,50,360,90,5
181,Smartphones,400,700,70,362,10,5
182,Computer,500,50,20,364,34,7
183,Laptop,600,400,30,366,20,3
184,Wacom Tablet ,700,7,23,368,23,4
185,Bluetooth Speakers,700,3,700,370,30,7
186,Television,800,5,50,372,40,5
187,SmartWatches,300,100,400,374,50,2
188,Tablet,500,500,7,376,55,6
189,Video Players,500,50,3,378,34,4
190,Calculators ,700,30,5,380,45,3
191,Mobile Phones,500,5,100,382,35,8
192,Telephone,600,50,500,384,26,3
193,Landline Phone,800,70,50,386,27,5
194,Radios,700,20,30,388,28,6
195,Wakie-Talkies,300,30,5,390,49,7
196,Routers,400,23,50,392,459,4
197,Modems,500,700,70,394,678,8
198,Gaming Coonsoles,400,50,20,396,678,3
199,Music Players,200,50,30,398,789,2
200,E-readers,100,400,23,400,697,5
201,Kindle,450,7,700,402,457,3
202,Projector,670,3,50,404,567,7
203,Refrigerator,890,5,50,406,466,6
204,WashingMachine,670,100,400,408,55,4
205,Dryers,450,500,7,410,367,4
206,Ovens,340,50,3,412,45,6
207,Microwaves,750,30,5,414,36,8
208,Air Conditioner,670,5,100,416,457,5
209,Cameras,340,50,500,418,33,3
210,Drone,250,70,50,420,4,5
211,Virtual Reality Headsets,450,20,30,422,5,5
212,Fitness Trackers,760,30,5,424,6,7
213,Headphones ,160,23,50,426,7,3
214,Earpods,2000,700,70,428,67,4
215,Blutooth Headphones,450,50,20,430,50,7
216,Speakers,125,400,30,432,67,5
217,Power Bank,500,7,23,434,46,2
218,External Hard Dirves,300,3,700,436,235,6
219,Printers,400,5,50,438,670,4
220,Scanners,500,100,400,440,457,3
221,Proector,600,500,7,442,234,8
222,Electronic toothbrushes,700,50,3,444,560,3
223,Pocket cameras,700,30,5,446,230,5
224,ATM,300,5,100,448,43,6
225,Sensors,500,50,500,450,104,7
226,Smartphones,500,70,50,452,923,4
227,Computer,700,20,30,454,345,8
228,Laptop,500,30,5,456,230,3
229,Wacom Tablet ,600,23,50,458,456,2
230,Bluetooth Speakers,800,700,70,460,1,5
231,Television,700,50,20,462,23,3
232,SmartWatches,300,50,30,464,234,7
233,Tablet,400,400,23,466,45,6
234,Video Players,500,7,700,468,345,4
235,Calculators ,400,3,50,470,567,4
236,Mobile Phones,200,5,50,472,409,6
237,Telephone,100,100,400,474,679,8
238,Landline Phone,450,500,7,476,567,5
239,Radios,670,50,3,478,67,3
240,Wakie-Talkies,890,30,5,480,34,5
241,Routers,670,5,100,482,54,5
242,Modems,450,50,500,484,566,7
243,Gaming Coonsoles,340,70,50,486,66,3
244,Music Players,750,20,30,488,450,4
245,E-readers,670,30,5,490,345,7
246,Kindle,340,23,50,492,456,5
247,Projector,250,700,70,494,564,2
248,Refrigerator,450,50,20,496,456,6
249,WashingMachine,760,400,30,498,563,4
250,Dryers,160,7,23,500,6,3
251,Ovens,2000,3,700,502,12,8
252,Microwaves,450,5,50,504,67,3
253,Air Conditioner,125,100,400,506,34,5
254,Cameras,500,500,7,508,57,6
255,Drone,300,50,3,510,34,7
256,Virtual Reality Headsets,400,30,5,512,120,4
257,Fitness Trackers,500,5,100,514,330,8
258,Headphones ,600,50,500,516,23,3
259,Earpods,700,70,50,518,34,2
260,Blutooth Headphones,700,20,30,520,56,5
261,Speakers,300,30,5,522,78,3
262,Power Bank,500,23,50,524,98,7
263,External Hard Dirves,500,700,70,526,90,6
264,Printers,700,50,20,528,10,4
265,Scanners,500,50,30,530,34,4
266,Proector,600,400,23,532,20,6
267,Electronic toothbrushes,800,7,700,534,23,8
268,Pocket cameras,700,3,50,536,30,5
269,ATM,300,5,50,538,40,3
270,Sensors,400,100,400,540,50,5
271,Smartphones,500,500,7,542,55,5
272,Computer,400,50,3,544,34,7
273,Laptop,200,30,5,546,45,3
274,Wacom Tablet ,100,5,100,548,35,4
275,Bluetooth Speakers,450,50,500,550,26,7
276,Television,670,70,50,552,27,5
277,SmartWatches,890,20,30,554,28,2
278,Tablet,670,30,5,556,49,6
279,Video Players,450,23,50,558,459,4
280,Calculators ,340,700,70,560,678,3
281,Mobile Phones,750,50,20,562,678,8
282,Telephone,670,400,30,564,789,3
283,Landline Phone,340,7,23,566,697,5
284,Radios,250,3,23,568,457,6
285,Wakie-Talkies,450,5,700,570,567,7
286,Routers,760,100,50,572,466,4
287,Modems,160,500,50,574,55,8
288,Gaming Coonsoles,2000,50,400,576,367,3
289,Music Players,450,30,7,578,45,2
290,E-readers,125,5,3,580,36,5
291,Kindle,500,50,5,582,457,3
292,Projector,300,70,100,584,33,7
293,Refrigerator,400,20,500,586,4,6
294,WashingMachine,500,30,50,588,5,4
295,Dryers,600,23,30,590,6,4
296,Ovens,700,700,5,592,7,6
297,Microwaves,700,50,50,594,67,8
298,Air Conditioner,300,50,70,596,50,5
299,Cameras,500,400,20,598,67,3
300,Drone,500,7,30,600,46,5
301,Virtual Reality Headsets,700,3,23,602,235,5
302,Fitness Trackers,500,5,700,604,670,7
303,Headphones ,600,100,50,606,457,3
304,Earpods,800,500,400,608,234,4
305,Blutooth Headphones,700,50,7,610,560,7
306,Speakers,300,30,3,612,230,5
307,Power Bank,400,5,5,614,43,2
308,External Hard Dirves,500,50,100,616,104,6
309,Printers,400,70,500,618,923,4
310,Scanners,200,20,50,620,345,3
311,Proector,100,30,30,622,230,8
312,Electronic toothbrushes,450,23,5,624,456,3
313,Pocket cameras,670,700,50,626,1,5
314,ATM,890,50,70,628,23,6
315,Sensors,670,400,20,630,234,7
316,Smartphones,450,7,30,632,45,4
317,Computer,340,3,23,634,345,8
318,Laptop,750,5,700,636,567,3
319,Wacom Tablet ,670,100,50,638,409,2
320,Bluetooth Speakers,340,500,50,640,679,5
321,Television,250,50,400,642,567,3
322,SmartWatches,450,30,7,644,67,7
323,Tablet,760,5,3,646,34,6
324,Video Players,160,50,5,648,54,4
325,Calculators ,2000,70,100,650,566,4
326,Mobile Phones,450,20,500,652,66,6
327,Telephone,125,30,50,654,450,8
328,Landline Phone,500,23,30,656,345,5
329,Radios,300,700,5,658,456,3
330,Wakie-Talkies,400,50,50,660,564,5
331,Routers,500,50,70,662,456,5
332,Modems,600,400,20,664,563,7
333,Gaming Coonsoles,700,7,30,666,6,3
334,Music Players,700,3,23,668,12,4
335,E-readers,300,5,700,670,67,7
336,Kindle,500,100,50,672,34,5
337,Projector,500,500,400,674,57,2
338,Refrigerator,700,50,7,676,34,6
339,WashingMachine,500,30,3,678,120,4
340,Dryers,600,5,5,680,330,3
341,Ovens,800,50,100,682,23,8
342,Microwaves,700,70,500,684,34,3
343,Air Conditioner,300,20,50,686,56,5
344,Cameras,400,30,30,688,78,6
345,Drone,500,23,5,690,98,7
346,Virtual Reality Headsets,400,700,50,692,90,4
347,Fitness Trackers,200,50,70,694,10,8
348,Headphones ,100,400,20,696,34,3
349,Earpods,450,7,30,698,20,2
350,Blutooth Headphones,670,3,23,700,23,5
351,Speakers,890,5,700,702,30,3
352,Power Bank,670,100,50,704,40,7
353,External Hard Dirves,450,500,50,706,50,6
354,Printers,340,50,400,708,55,4
355,Scanners,750,30,7,710,34,4
356,Proector,670,5,3,712,45,6
357,Electronic toothbrushes,340,50,5,714,35,8
358,Pocket cameras,250,70,100,716,26,5
359,ATM,450,20,500,718,27,3
360,Sensors,760,30,50,720,28,5
361,Smartphones,160,23,30,722,49,5
362,Computer,2000,700,5,724,459,7
363,Laptop,450,50,50,726,678,3
364,Wacom Tablet ,125,50,70,728,678,4
365,Bluetooth Speakers,500,400,20,730,789,7
366,Television,300,7,30,732,697,5
367,SmartWatches,400,3,23,734,457,2
368,Tablet,500,5,700,736,567,6
369,Video Players,600,100,50,738,466,4
370,Calculators ,700,500,400,740,55,3
371,Mobile Phones,700,50,7,742,367,8
372,Telephone,300,30,3,744,45,3
373,Landline Phone,500,5,5,746,36,5
374,Radios,500,50,100,748,457,6
375,Wakie-Talkies,700,70,500,750,33,7
376,Routers,500,20,50,752,4,4
377,Modems,600,30,30,754,5,8
378,Gaming Coonsoles,800,23,5,756,6,3
379,Music Players,700,700,50,758,7,2
380,E-readers,300,50,70,760,67,5
381,Kindle,400,400,20,762,50,3
382,Projector,500,7,30,764,67,7
383,Refrigerator,400,3,23,766,46,6
384,WashingMachine,200,5,700,768,235,4
385,Dryers,100,100,50,770,670,4
386,Ovens,450,500,50,772,457,6
387,Microwaves,670,50,400,774,234,8
388,Air Conditioner,890,30,7,776,560,5
389,Cameras,670,5,3,778,230,3
390,Drone,450,50,5,780,43,5
391,Virtual Reality Headsets,340,400,100,782,104,5
392,Fitness Trackers,750,7,500,784,923,7
393,Headphones ,670,3,50,786,345,3
394,Earpods,340,5,30,788,230,4
395,Blutooth Headphones,250,100,5,790,456,7
396,Speakers,450,500,50,792,1,5
397,Power Bank,760,50,70,794,23,2
398,External Hard Dirves,160,30,20,796,234,6
399,Printers,2000,5,30,798,45,4
400,Scanners,450,50,23,800,345,3
401,Proector,125,70,700,802,567,8
402,Electronic toothbrushes,500,20,50,804,409,3
403,Pocket cameras,300,30,400,806,679,5
404,ATM,400,23,7,808,567,6
405,Sensors,500,700,3,810,67,7
406,Smartphones,600,50,5,812,34,4
407,Computer,700,400,100,814,54,8
408,Laptop,700,7,500,816,566,3
409,Wacom Tablet ,800,3,50,818,66,2
410,Bluetooth Speakers,300,5,30,820,450,5
411,Television,500,100,5,822,345,3
412,SmartWatches,500,500,50,824,456,7
413,Tablet,700,50,70,826,564,6
414,Video Players,500,30,20,828,456,4
415,Calculators ,600,5,30,830,563,4
416,Mobile Phones,800,50,23,832,6,6
417,Telephone,700,70,700,834,12,8
418,Landline Phone,300,20,50,836,67,5
419,Radios,400,30,50,838,34,3
420,Wakie-Talkies,500,23,400,840,57,5
421,Routers,400,700,7,842,34,5
422,Modems,200,50,3,844,120,7
423,Gaming Coonsoles,100,50,5,846,330,3
424,Music Players,450,400,100,848,23,4
425,E-readers,670,7,500,850,34,7
426,Kindle,890,3,50,852,56,5
427,Projector,670,5,30,854,78,2
428,Refrigerator,450,100,5,856,98,6
429,WashingMachine,340,500,50,858,90,4
430,Dryers,750,50,70,860,10,3
431,Ovens,670,30,20,862,34,8
432,Microwaves,340,5,30,864,20,3
433,Air Conditioner,250,50,23,866,23,5
434,Cameras,450,70,700,868,30,6
435,Drone,760,20,50,870,40,7
436,Virtual Reality Headsets,160,30,400,872,50,4
437,Fitness Trackers,2000,23,7,874,55,8
438,Headphones ,450,700,3,876,34,3
439,Earpods,125,50,5,878,45,2
440,Blutooth Headphones,500,400,100,880,35,5
441,Speakers,300,7,500,882,26,3
442,Power Bank,400,3,50,884,27,7
443,External Hard Dirves,500,5,30,886,28,6
444,Printers,600,100,5,888,49,4
445,Scanners,700,500,50,890,459,4
446,Proector,700,50,70,892,678,6
447,Electronic toothbrushes,600,30,20,894,678,8
448,Pocket cameras,800,5,30,896,789,5
449,ATM,600,50,23,898,697,3
450,Sensors,300,70,700,900,457,5
451,Smartphones,500,20,50,902,567,5
452,Computer,500,30,50,904,466,7
453,Laptop,700,23,400,906,55,3
454,Wacom Tablet ,500,700,7,908,367,4
455,Bluetooth Speakers,600,50,3,910,45,7
456,Television,800,50,5,912,36,5
457,SmartWatches,700,400,100,914,457,2
458,Tablet,300,7,500,916,33,6
459,Video Players,400,3,50,918,4,4
460,Calculators ,500,5,30,920,5,3
461,Mobile Phones,400,100,5,922,6,8
462,Telephone,200,500,50,924,7,3
463,Landline Phone,100,50,70,926,67,5
464,Radios,450,30,20,928,50,6
465,Wakie-Talkies,670,5,30,930,67,7
466,Routers,890,50,23,932,46,4
467,Modems,670,70,89,934,235,8
468,Gaming Coonsoles,450,20,45,936,670,3
469,Music Players,340,30,35,938,457,2
470,E-readers,750,23,46,940,234,5
471,Kindle,670,700,78,942,560,3
472,Projector,340,50,56,944,230,7
473,Refrigerator,250,400,345,946,43,6
474,WashingMachine,450,7,465,948,104,4
475,Dryers,760,3,567,950,923,4
476,Ovens,160,5,765,952,345,6
477,Microwaves,2000,100,879,954,230,8
478,Air Conditioner,450,500,555,956,456,5
479,Cameras,125,50,234,958,1,3
480,Drone,500,30,345,960,23,5
481,Virtual Reality Headsets,300,5,333,962,234,5
482,Fitness Trackers,400,50,234,964,45,7
483,Headphones ,500,70,254,966,345,3
484,Earpods,600,20,213,968,567,4
485,Blutooth Headphones,700,30,346,970,409,7
486,Speakers,700,23,764,972,679,5
487,Power Bank,300,700,768,974,567,2
488,External Hard Dirves,500,50,423,976,67,6
489,Printers,500,50,986,978,34,4
490,Scanners,700,400,999,980,54,3
491,Proector,500,7,123,982,566,8
492,Electronic toothbrushes,600,3,45,984,66,3
493,Pocket cameras,800,5,32,986,450,5
494,ATM,700,100,78,988,345,6
495,Sensors,300,500,45,990,456,7
496,Smartphones,400,50,12,992,564,4
497,Computer,500,30,345,994,456,8
498,Laptop,400,5,123,996,563,3
499,Wacom Tablet ,200,50,100,998,6,2
500,Bluetooth Speakers,100,70,125,1000,12,5
501,Television,450,20,135,2,67,3
502,SmartWatches,670,30,167,4,34,7
503,Tablet,890,23,175,6,57,6
504,Video Players,670,700,197,8,34,4
505,Calculators ,450,50,789,10,120,4
506,Mobile Phones,340,400,987,12,330,6
507,Telephone,750,7,678,14,23,8
508,Landline Phone,670,3,567,16,34,5
509,Radios,340,5,453,18,56,3
510,Wakie-Talkies,250,100,34,20,78,5
511,Routers,450,500,56,22,98,5
512,Modems,760,50,76,24,90,7
513,Gaming Coonsoles,160,30,35,26,10,3
514,Music Players,2000,5,78,28,34,4
515,E-readers,450,50,570,30,20,7
516,Kindle,125,400,98,32,23,5
517,Projector,500,7,90,34,30,2
518,Refrigerator,300,3,70,36,40,6
519,WashingMachine,400,5,679,38,50,4
520,Dryers,500,100,3,40,55,3
521,Ovens,600,500,6,42,34,8
522,Microwaves,700,50,8,44,45,3
523,Air Conditioner,700,30,5,46,35,5
524,Cameras,300,5,9,48,26,6
525,Drone,500,50,3,50,27,7
526,Virtual Reality Headsets,500,70,5,52,28,4
527,Fitness Trackers,700,20,2,54,49,8
528,Headphones ,500,30,7,56,459,3
529,Earpods,600,23,90,58,678,2
530,Blutooth Headphones,800,700,120,60,678,5
531,Speakers,700,50,345,62,789,3
532,Power Bank,300,400,456,64,697,7
533,External Hard Dirves,400,7,678,66,457,6
534,Printers,500,3,347,68,567,4
535,Scanners,400,5,70,70,466,4
536,Proector,200,100,72,72,55,6
537,Electronic toothbrushes,100,500,48,74,367,8
538,Pocket cameras,450,50,32,76,45,5
539,ATM,670,30,20,78,36,3
540,Sensors,890,5,34,80,457,5
541,Smartphones,670,50,45,82,33,5
542,Computer,450,70,10,84,4,7
543,Laptop,340,20,11,86,5,3
544,Wacom Tablet ,750,30,15,88,6,4
545,Bluetooth Speakers,670,23,19,90,7,7
546,Television,340,700,4,92,67,5
547,SmartWatches,250,50,9,94,50,2
548,Tablet,450,50,6,96,67,6
549,Video Players,760,400,38,98,46,4
550,Calculators ,160,7,33,100,235,3
551,Mobile Phones,2000,3,55,102,670,8
552,Telephone,450,5,78,104,457,3
553,Landline Phone,125,100,45,106,234,5
554,Radios,500,500,26,108,560,6
555,Wakie-Talkies,300,50,98,110,230,7
556,Routers,400,30,66,112,43,4
557,Modems,500,5,77,114,104,8
558,Gaming Coonsoles,600,50,88,116,923,3
559,Music Players,700,70,99,118,345,2
560,E-readers,700,20,333,120,230,5
561,Kindle,300,30,45,122,456,3
562,Projector,500,23,345,124,1,7
563,Refrigerator,500,700,12,126,23,6
564,WashingMachine,700,50,55,128,234,4
565,Dryers,500,400,36,130,45,4
566,Ovens,600,7,67,132,345,6
567,Microwaves,800,3,23,134,567,8
568,Air Conditioner,700,5,700,136,409,5
569,Cameras,300,100,50,138,679,3
570,Drone,400,500,50,140,567,5
571,Virtual Reality Headsets,500,50,400,142,67,5
572,Fitness Trackers,400,30,7,144,34,7
573,Headphones ,200,5,3,146,54,3
574,Earpods,100,50,5,148,566,4
575,Blutooth Headphones,450,70,100,150,66,7
576,Speakers,670,20,500,152,450,5
577,Power Bank,890,30,50,154,345,2
578,External Hard Dirves,670,23,30,156,456,6
579,Printers,450,700,5,158,564,4
580,Scanners,340,50,50,160,456,3
581,Proector,750,50,70,162,563,8
582,Electronic toothbrushes,670,400,20,164,6,3
583,Pocket cameras,340,7,30,166,12,5
584,ATM,250,3,23,168,67,6
585,Sensors,450,5,700,170,34,7
586,Smartphones,760,100,50,172,57,4
587,Computer,160,500,400,174,34,8
588,Laptop,2000,50,7,176,120,3
589,Wacom Tablet ,450,30,3,178,330,2
590,Bluetooth Speakers,125,5,5,180,23,5
591,Television,500,50,100,182,34,3
592,SmartWatches,300,70,500,184,56,7
593,Tablet,400,20,50,186,78,6
594,Video Players,500,30,30,188,98,4
595,Calculators ,600,23,5,190,90,4
596,Mobile Phones,700,700,50,192,10,6
597,Telephone,700,50,70,194,34,8
598,Landline Phone,300,400,20,196,20,5
599,Radios,500,7,30,198,23,3
600,Wakie-Talkies,500,3,23,200,30,5
601,Routers,700,5,700,202,40,5
602,Modems,500,100,50,204,50,7
603,Gaming Coonsoles,600,500,50,206,55,3
604,Music Players,800,50,400,208,34,4
605,E-readers,700,30,7,210,45,7
606,Kindle,300,5,3,212,35,5
607,Projector,400,50,5,214,26,2
608,Refrigerator,500,70,100,216,27,6
609,WashingMachine,400,20,500,218,28,4
610,Dryers,200,30,50,220,49,3
611,Ovens,100,23,30,222,459,8
612,Microwaves,450,700,5,224,678,3
613,Air Conditioner,670,50,50,226,678,5
614,Cameras,890,50,70,228,789,6
615,Drone,670,400,20,230,697,7
616,Virtual Reality Headsets,450,7,30,232,457,4
617,Fitness Trackers,340,3,23,234,567,8
618,Headphones ,750,5,700,236,466,3
619,Earpods,670,100,50,238,55,2
620,Blutooth Headphones,340,500,400,240,367,5
621,Speakers,250,50,7,242,45,3
622,Power Bank,450,30,3,244,36,7
623,External Hard Dirves,760,5,5,246,457,6
624,Printers,160,50,100,248,33,4
625,Scanners,2000,70,500,250,4,4
626,Proector,450,20,50,252,5,6
627,Electronic toothbrushes,125,30,30,254,6,8
628,Pocket cameras,500,23,5,256,7,5
629,ATM,300,700,50,258,67,3
630,Sensors,400,50,70,260,50,5
631,Smartphones,500,400,20,262,67,5
632,Computer,600,7,30,264,46,7
633,Laptop,700,3,23,266,235,3
634,Wacom Tablet ,700,5,700,268,670,4
635,Bluetooth Speakers,800,100,50,270,457,7
636,Television,300,500,50,272,234,5
637,SmartWatches,500,50,400,274,560,2
638,Tablet,500,30,7,276,230,6
639,Video Players,700,5,3,278,43,4
640,Calculators ,500,50,5,280,104,3
641,Mobile Phones,600,400,100,282,923,8
642,Telephone,800,7,500,284,345,3
643,Landline Phone,700,3,50,286,230,5
644,Radios,300,5,30,288,456,6
645,Wakie-Talkies,400,100,5,290,1,7
646,Routers,500,500,50,292,23,4
647,Modems,400,50,70,294,234,8
648,Gaming Coonsoles,200,30,20,296,45,3
649,Music Players,100,5,30,298,345,2
650,E-readers,450,50,23,300,567,5
651,Kindle,670,70,700,302,409,3
652,Projector,890,20,50,304,679,7
653,Refrigerator,670,30,400,306,567,6
654,WashingMachine,450,23,7,308,67,4
655,Dryers,340,700,3,310,34,4
656,Ovens,750,50,5,312,54,6
657,Microwaves,670,400,100,314,566,8
658,Air Conditioner,340,7,500,316,66,5
659,Cameras,250,3,50,318,450,3
660,Drone,450,5,30,320,345,5
661,Virtual Reality Headsets,760,100,5,322,456,5
662,Fitness Trackers,160,500,50,324,564,7
663,Headphones ,2000,50,70,326,456,3
664,Earpods,450,30,20,328,563,4
665,Blutooth Headphones,125,5,30,330,6,7
666,Speakers,500,50,23,332,12,5
667,Power Bank,300,70,700,334,67,2
668,External Hard Dirves,400,20,50,336,34,6
669,Printers,500,30,50,338,57,4
670,Scanners,600,23,400,340,34,3
671,Proector,700,700,7,342,120,8
672,Electronic toothbrushes,700,50,3,344,330,3
673,Pocket cameras,300,50,5,346,23,5
674,ATM,500,400,100,348,34,6
675,Sensors,500,7,500,350,56,7
676,Smartphones,700,3,50,352,78,4
677,Computer,500,5,30,354,98,8
678,Laptop,600,100,5,356,90,3
679,Wacom Tablet ,800,500,50,358,10,2
680,Bluetooth Speakers,700,50,70,360,34,5
681,Television,300,30,20,362,20,3
682,SmartWatches,400,5,30,364,23,7
683,Tablet,500,50,23,366,30,6
684,Video Players,400,70,700,368,40,4
685,Calculators ,200,20,50,370,50,4
